Country or Area,Year,Item,Value
Sierra Leone,2019,Gross Domestic Product (GDP),527.5336318
Sierra Leone,2018,Gross Domestic Product (GDP),533.9914601
Singapore,2019,Gross Domestic Product (GDP),64102.73761
Singapore,2018,Gross Domestic Product (GDP),64820.77598
Sint Maarten (Dutch part),2019,Gross Domestic Product (GDP),23803.90677
Sint Maarten (Dutch part),2018,Gross Domestic Product (GDP),22746.78112
Slovakia,2019,Gross Domestic Product (GDP),19255.89567
Slovakia,2018,Gross Domestic Product (GDP),19384.12976
Slovenia,2019,Gross Domestic Product (GDP),26062.16682
Slovenia,2018,Gross Domestic Product (GDP),26066.3546
Solomon Islands,2019,Gross Domestic Product (GDP),1944.818169
Solomon Islands,2018,Gross Domestic Product (GDP),2000.523017
Somalia,2019,Gross Domestic Product (GDP),105.3106824
Somalia,2018,Gross Domestic Product (GDP),103.5023476
South Africa,2019,Gross Domestic Product (GDP),6001.389576
South Africa,2018,Gross Domestic Product (GDP),6369.231608
South Sudan,2019,Gross Domestic Product (GDP),448.3552934
South Sudan,2018,Gross Domestic Product (GDP),427.5679545
Spain,2019,Gross Domestic Product (GDP),29815.71781
Spain,2018,Gross Domestic Product (GDP),30457.63101
Sri Lanka,2019,Gross Domestic Product (GDP),3939.684198
Sri Lanka,2018,Gross Domestic Product (GDP),4165.382135
State of Palestine,2019,Gross Domestic Product (GDP),3424.465313
State of Palestine,2018,Gross Domestic Product (GDP),3347.043037
Sudan,2019,Gross Domestic Product (GDP),815.0601008
Sudan,2018,Gross Domestic Product (GDP),1156.977945
Suriname,2019,Gross Domestic Product (GDP),6359.634834
Suriname,2018,Gross Domestic Product (GDP),6015.023747
Sweden,2019,Gross Domestic Product (GDP),52895.9567
Sweden,2018,Gross Domestic Product (GDP),55703.52348
Switzerland,2019,Gross Domestic Product (GDP),85134.95483
Switzerland,2018,Gross Domestic Product (GDP),86315.12806
Syrian Arab Republic,2019,Gross Domestic Product (GDP),1193.853039
Syrian Arab Republic,2018,Gross Domestic Product (GDP),965.5484976
Tajikistan,2019,Gross Domestic Product (GDP),894.0129344
Tajikistan,2018,Gross Domestic Product (GDP),853.2184445
Thailand,2019,Gross Domestic Product (GDP),7784.73908
Thailand,2018,Gross Domestic Product (GDP),7273.56485
Timor-Leste,2019,Gross Domestic Product (GDP),1560.50984
Timor-Leste,2018,Gross Domestic Product (GDP),1230.226288
Togo,2019,Gross Domestic Product (GDP),899.4907444
Togo,2018,Gross Domestic Product (GDP),904.1057803
Tonga,2019,Gross Domestic Product (GDP),4865.491695
Tonga,2018,Gross Domestic Product (GDP),4649.845002
Trinidad and Tobago,2019,Gross Domestic Product (GDP),16637.25981
Trinidad and Tobago,2018,Gross Domestic Product (GDP),17038.05436
Tunisia,2019,Gross Domestic Product (GDP),3317.515276
Tunisia,2018,Gross Domestic Product (GDP),3438.848968
Turkey,2019,Gross Domestic Product (GDP),9126.562459
Turkey,2018,Gross Domestic Product (GDP),9453.254849
Turkmenistan,2019,Gross Domestic Product (GDP),8124.494047
Turkmenistan,2018,Gross Domestic Product (GDP),6964.613045
Turks and Caicos Islands,2019,Gross Domestic Product (GDP),31353.46024
Turks and Caicos Islands,2018,Gross Domestic Product (GDP),29554.75906
Tuvalu,2019,Gross Domestic Product (GDP),4036.000516
Tuvalu,2018,Gross Domestic Product (GDP),4000.620815
Uganda,2019,Gross Domestic Product (GDP),736.6030867
Uganda,2018,Gross Domestic Product (GDP),694.7968471
Ukraine,2019,Gross Domestic Product (GDP),3495.531163
Ukraine,2018,Gross Domestic Product (GDP),2958.491927
United Arab Emirates,2019,Gross Domestic Product (GDP),43103.32306
United Arab Emirates,2018,Gross Domestic Product (GDP),43839.35635
United Kingdom of Great Britain and Northern Ireland,2019,Gross Domestic Product (GDP),41854.50307
United Kingdom of Great Britain and Northern Ireland,2018,Gross Domestic Product (GDP),42556.52159
United Republic of Tanzania: Mainland,2019,Gross Domestic Product (GDP),1084.373491
United Republic of Tanzania: Mainland,2018,Gross Domestic Product (GDP),1041.475882
United Republic of Tanzania: Zanzibar,2019,Gross Domestic Product (GDP),1110.842671
United Republic of Tanzania: Zanzibar,2018,Gross Domestic Product (GDP),1025.779447
United States,2019,Gross Domestic Product (GDP),65133.73165
United States,2018,Gross Domestic Product (GDP),63014.66328
Uruguay,2019,Gross Domestic Product (GDP),16190.13844
Uruguay,2018,Gross Domestic Product (GDP),17278.06367
Uzbekistan,2019,Gross Domestic Product (GDP),1756.163496
Uzbekistan,2018,Gross Domestic Product (GDP),1551.676137
Vanuatu,2019,Gross Domestic Product (GDP),3023.409445
Vanuatu,2018,Gross Domestic Product (GDP),3125.257043
Venezuela (Bolivarian Republic of),2019,Gross Domestic Product (GDP),4732.820093
Venezuela (Bolivarian Republic of),2018,Gross Domestic Product (GDP),7061.613962
Viet Nam,2019,Gross Domestic Product (GDP),2715.275874
Viet Nam,2018,Gross Domestic Product (GDP),2566.447346
Yemen,2019,Gross Domestic Product (GDP),855.0668107
Yemen,2018,Gross Domestic Product (GDP),803.6483635
Zambia,2019,Gross Domestic Product (GDP),1292.482076
Zambia,2018,Gross Domestic Product (GDP),1556.338275
Zimbabwe,2019,Gross Domestic Product (GDP),1463.985913
Zimbabwe,2018,Gross Domestic Product (GDP),1683.765768
